,Title,Sales,Platform(s),Initial  release date,Developer(s),Publisher(s)
0,Minecraft,"200,000,000",Multi-platform,"November 18, 2011[b]",Mojang Studios,Mojang Studios
1,Grand Theft Auto V,"130,000,000",Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
2,Tetris (EA),"100,000,000",Mobile,"September 12, 2006",EA Mobile,Electronic Arts
3,Wii Sports,"82,900,000",Wii,"November 19, 2006",Nintendo EAD,Nintendo
4,PlayerUnknown's Battlegrounds,"60,000,000",Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation
5,Super Mario Bros.,"48,240,000",Multi-platform,"September 13, 1985",Nintendo,Nintendo
6,Pokémon Red / Green / Blue / Yellow,"47,520,000",Multi-platform,"February 27, 1996",Game Freak,Nintendo
7,Wii Fit and Wii Fit Plus,"43,800,000",Wii,"December 1, 2007",Nintendo EAD,Nintendo
8,Tetris (Nintendo),"43,000,000",Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo
9,Pac-Man,"39,098,000",Multi-platform,July 1980,Namco,Namco
10,Mario Kart Wii,"37,320,000",Wii,"April 10, 2008",Nintendo EAD,Nintendo
11,Mario Kart 8 / Deluxe,"33,220,000",Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo
12,Wii Sports Resort,"33,130,000",Wii,"June 25, 2009",Nintendo EAD,Nintendo
13,Red Dead Redemption 2,"31,000,000",Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games
14,New Super Mario Bros.,"30,800,000",Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo
15,Terraria,"30,300,000",Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games
16,New Super Mario Bros. Wii,"30,300,000",Wii,"November 11, 2009",Nintendo EAD,Nintendo
17,The Elder Scrolls V: Skyrim,"30,000,000",Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks
18,Diablo III and Reaper of Souls,"30,000,000",Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment
19,Pokémon Gold / Silver / Crystal,"29,490,000",Game Boy Color,"November 21, 1999",Game Freak,Nintendo
20,Duck Hunt,"28,300,000",NES,"April 21, 1984",Nintendo R&D1,Nintendo
21,Wii Play,"28,020,000",Wii,"December 2, 2006",Nintendo EAD,Nintendo
22,The Witcher 3 / Hearts of Stone / Blood and Wine,"28,000,000",Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt
23,Grand Theft Auto: San Andreas,"27,500,000",Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games
24,Call of Duty: Modern Warfare 3,"26,500,000",Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
25,Call of Duty: Black Ops,"26,200,000",Multi-platform,"November 9, 2010",Treyarch,Activision
26,Grand Theft Auto IV,"25,000,000",Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games
27,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"24,950,000",Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company
28,Pokémon Diamond / Pearl / Platinum,"24,730,000",Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company
29,Call of Duty: Black Ops II,"24,200,000",Multi-platform,"November 12, 2012",Treyarch,Activision
30,Kinect Adventures!,"24,000,000",Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios
31,FIFA 18,"24,000,000",Multi-platform,"September 29, 2017",EA Canada,Electronic Arts
32,Sonic the Hedgehog,"23,982,960",Multi-platform,"June 23, 1991",Sonic Team,Sega
33,Nintendogs,"23,960,000",Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo
34,Mario Kart DS,"23,600,000",Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo
35,Call of Duty: Modern Warfare 2,"22,700,000",Multi-platform,"November 10, 2009",Infinity Ward,Activision
36,Pokémon Ruby / Sapphire / Emerald,"22,540,000",Game Boy Advance,"November 21, 2002",Game Freak,Nintendo / The Pokémon Company
37,Borderlands 2,"22,000,000",Multi-platform,"September 18, 2012",Gearbox Software,2K Games
38,Super Mario World,"20,972,500",Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo
39,Frogger,"20,000,000",Multi-platform,"June 5, 1981",Konami,Sega
40,Lemmings,"20,000,000",Multi-platform,"February 14, 1991",DMA Design,Psygnosis
41,Grand Theft Auto: Vice City,"20,000,000",Multi-platform,"October 27, 2002",Rockstar North,Rockstar Games
42,The Last of Us,"20,000,000",PS3 / PS4,"June 14, 2013",Naughty Dog,Sony Computer Entertainment
43,The Legend of Zelda: Breath of the Wild,"19,080,000",Switch / Wii U,"March 3, 2017",Nintendo EPD,Nintendo
44,Brain Age,"19,010,000",Nintendo DS,"May 19, 2005",Nintendo SPD,Nintendo
45,Super Mario Bros. 3,"19,000,000",Multi-platform,"October 23, 1988",Nintendo,Nintendo
46,Call of Duty: Ghosts,"19,000,000",Multi-platform,"November 5, 2013",Infinity Ward,Activision
47,Super Smash Bros. Ultimate,"18,840,000",Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
48,Mario Kart 7,"18,710,000",Nintendo 3DS,"December 1, 2011",Nintendo EAD,Nintendo
49,Super Mario Land,"18,370,500",Multi-platform,"April 21, 1989",Nintendo R&D1,Nintendo
50,Gran Turismo 4,"17,830,000",PS2 / PSP,"December 28, 2004",Polyphony Digital,Sony Computer Entertainment
